slug,discount
appian,Appian offers a Community Edition with free access to a dedicated platform instance. No other discounts are explicitly mentioned on the pricing page.
anyword,The pricing page offers a 7-day free trial for all plans. There is also mention of discounts for non-profit organizations or students in the FAQ section.
affise,The pricing page offers a 14-day trial for all plans.
alchemy,"Alchemy offers volume discounts for the 'Pay As You Go' plan, where the cost per compute unit (CU) decreases as usage increases (from $0.45/1M CU to $0.40/1M CU). The Enterprise plan also mentions volume discounts."
activtrak,"A 14-day free trial of the Professional plan is offered. No explicit annual, volume, multi-product, or multi-year discounts are mentioned."
7shifts,Annual discount of 10% is offered on the 'Entree' plan.
aftership,Annual billing offers a discount of 18%. Team plan offers a 7-day free trial. Silver and Gold support plans offer 20% and 30% discount respectively on product subscription fee with a minimum monthly fee.
adyen,Adyen charges a fixed processing fee of €0.11 plus a payment method fee of 3.95% for each transaction. Some payment methods have different fees depending on the country or other factors.
accelo,"The pricing page does not explicitly mention any discounts. There are no mentions of annual, introductory, volume, or multi-product discounts."
1password,Annual billing offers a discount compared to monthly billing. There is also a free 14-day trial available.
airwallex,"The Explore plan has a variable monthly cost from $0 to $29, depending on deposit amount. If you deposit at least $2K or hold a minimum balance of $2K, the monthly fee is $0."
algolia,Algolia offers discounts for annual plans and volume discounts. Contact sales for details.
anydesk,Annual billing is offered. There is also a promotion for up to 6 months free when switching to AnyDesk.
aiven,The Startup plan is offered for free.
aftershoot,Annual billing offers up to 33% discount. All plans come with a 30-day free trial.
airtable,"Annual billing offers a discount compared to monthly billing. For the Team plan, the annual discount is 20%."
aha,Aha! offers a free trial for all of its products. There are no other discounts mentioned on the pricing page.
aircall,Aircall offers an annual discount of approximately 16.67% on both the Essentials and Professional plans when billed annually. There are no other discounts mentioned on the page.
aisdr,"Volume discounts are available, offering up to 36% off based on the number of messages needed."
ahrefs,Ahrefs offers a 17% discount for annual billing. They also offer a free version of their Webmaster Tools.
appfolio,No discounts are mentioned on the pricing page.
arize,The Pro plan offers a 30% discount for users who choose to be billed annually.
anaconda,"The pricing page offers a free plan. Volume discounts are available for digital sales seats, requiring users to contact sales for 16+ seats."
apify,"Apify offers a 10% discount for yearly billing. There is also a special offer for the Creator Plan: $1 per month for 6 months, including $500 worth of free usage."
appsmith,The pricing page offers a free plan and a free trial for the Business plan.
appsflyer,"The 'Zero' plan is free for life. Growth plans start on the Welcome Package, including free conversions to use in the first year, core marketing analytics tools, and 30 days of access to select premium add-ons."
appfollow,10% discount on Essential and Team plans for annual billing. A 10-day free trial is also offered.
apollographql,"The page mentions a 'Start for free' option, suggesting a free trial or a free plan. There is also a mention of a 90-day trial period in the FAQs."
asana,Annual billing discounts are available on the Starter and Advanced plans. There is also a 50% discount for nonprofits.
amplitude,Annual billing is offered on the Plus plan. Early-stage startups may be eligible for one free year on the Growth plan.
atlassian.compass,Annual billing offers a discount of up to 17%. Free trials are available for the Standard and Premium plans.
assemblyai,AssemblyAI offers volume discounts up to 50% for custom plans.
15five,"The pricing shown for each plan (Engage $4, Perform $10, Total Platform $16) is the per-user per-month cost when billed annually."
atlassian.opsgenie,Annual billing is offered. There is also a 14-day free trial.
asite,Asite Marketplace: Starting at $850 with suppliers free.
atlassian.bitbucket,Bitbucket offers a free plan for up to 5 users. They also offer a free trial for the Standard and Premium plans.
agendrix,"Offers yearly billing option, which may include discounts compared to monthly billing. No specific discount percentages are mentioned."
atlassian.jira,Annual billing is offered. There is also a free plan available for up to 10 users.
gitlab,"Pricing is shown as 'per user/month, billed annually' for some add-ons, implying annual billing is the default. Contact sales for Enterprise plan pricing."
anthropic,"Annual subscription discounts are available for the 'Pro' and 'Team' plans. The Pro plan offers a discount, reducing the monthly cost from $20 to $18 when billed annually. The Team plan offers a discount, reducing the monthly cost from $30 to $25 per person when billed annually, with a minimum of 5 members."
atlassian.rovo,Annual billing offers savings of up to 17%. A free trial is also available.
benchmarkemail,Volume discounts are available for large senders and enterprises. Send-based pricing is offered for users who want to pay based on monthly emails sent. Pay-as-you-go pricing is available for businesses that only send marketing emails occasionally.
browserstack.app,Annual billing offers up to 25% savings compared to monthly billing. There is also a free testing option for open-source projects.
autify,Save up to 18% with annual billing on all plans.
atlassian.statuspage,Yearly billing is available but requires contacting support and a signed order form. No specific discount amount is mentioned.
atlassian,Annual billing offers a discount of over 16% compared to monthly billing.
auth0,"Auth0 offers special pricing for startups and non-profits. There is also a free plan available for up to 25,000 monthly active users."
bitwarden,Annual billing is offered on the Premium plan for $10/year (less than $1/month). The Families plan is $40/year ($3.33/month). A 7-day free trial is available for the Families plan.
atera,Atera offers discounts for annual billing. The monthly prices shown are discounted from the monthly billing option. There is also a 30-day free trial.
brighthr,50% discount for annual billing on all plans. Custom add-ons available for additional purchase.
bill-com,"The pricing page shows the monthly cost for each plan: Essentials ($45/user), Team ($55/user), and Corporate ($79/user). There are no discounts mentioned."
binadox,Annual discount of 20% is offered. A 14-day free trial is also available.
botkeeper,"The pricing page shows a single plan, 'Infinite Platform', priced at $69 per license per month. There are no mentions of any discounts."
backlog,The pricing page offers a free plan and free trials for the Starter and Standard plans. There is also a free trial for the Nulab Pass security add-on.
bardeen,The pricing shown is the annual price. There is a 7-day trial for the Starter plan and a 14-day trial for the Teams plan. There is also a free plan available.
awesomic,"The pricing page shows different plans (Light, Pro, 1 to 1 talent, and Recruiting) with varying features and monthly prices. There are no explicit discounts mentioned such as annual, volume, or introductory offers. Each plan has a set monthly price."
aws.kendra,"A free tier is available for the Amazon Kendra Developer Edition, providing free usage of up to 750 hours for the first 30 days. Discounted pricing is available for customers who are willing to make certain minimum volume commits. Contact them for details."
buffer,"Annual billing offers a discount compared to monthly billing. Both the Essentials and Team plans offer annual discounts, saving approximately 2 months of payments."
blameless,The pricing page mentions user-based pricing or annual flat rate. Volume discounts are available.
bitrise,"Annual billing offers a discount compared to monthly billing. Starter plan is $89/month when billed annually, compared to $99 monthly. Pro plan is $192/month annually, versus $210 monthly. Free 30-day trial available for Starter and Pro plans."
braintreepayments,Braintree offers discounted rates for verified charitable 501(c)(3) organizations (1.99% + $.49 per transaction). Discounted rates are also available for enterprise businesses for ACH Direct Debit transactions. Custom flat pricing is available for established businesses based on business model and processing volume.
braintrust,Braintrust offers a free tier with the 'Builder' plan at $0/month. They also offer free access for open-source projects and .edu email addresses. Self-serve pricing is coming soon for the Enterprise plan.
browserstack,"Annual discount: Save up to 25% with annual billing. Freelancer plan offers a discounted rate of $12.50/mo when billed annually, compared to $19 month-to-month. Free Testing for Open Source projects."
breezy,Annual discount: Get 2 months free with annual billing.
box,Annual per-user pricing is reduced by 25%.
